"# Configurações: PROTOCOLO=tcp, SESSÃO=False, PRINT_OUTPUT=True, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,664.97,576.80,320.87,252.46,1472.07
2,652.93,585.74,292.45,296.16,1771.98
3,456.95,397.29,192.97,243.80,1056.28
4,512.32,435.63,237.27,237.76,1430.26
5,533.66,455.25,209.62,279.23,1079.38
6,837.55,841.55,321.35,304.81,1597.77
7,899.20,821.67,373.95,296.86,1917.37
8,938.03,888.17,360.67,364.37,2128.88
9,793.73,802.84,359.92,268.52,1677.47
10,955.87,900.14,300.51,326.35,1692.08
