"# Configurações: PROTOCOLO=tcp, SESSÃO=True, PRINT_OUTPUT=False, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,364.30,335.64,165.66,173.34,931.81
2,574.97,584.40,151.18,239.72,829.73
3,550.23,520.41,194.28,158.83,1021.73
4,689.64,676.92,290.10,275.97,1876.91
5,605.43,621.00,173.58,324.07,1070.34
6,680.39,657.21,183.56,365.26,1222.46
7,624.71,658.17,142.00,313.56,945.36
8,686.38,665.81,164.99,340.97,1160.13
9,648.73,677.55,134.57,346.85,829.82
10,626.84,615.49,128.62,288.42,865.98
