"# Configurações: PROTOCOLO=tcp, SESSÃO=True, PRINT_OUTPUT=False, WRITE_TO_FILE=True"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,361.86,232.21,746.42,166.09,4947.83
2,295.14,246.89,120.27,168.56,610.37
3,312.59,290.25,136.46,177.65,924.77
4,275.44,247.55,110.21,161.14,693.04
5,295.22,276.89,108.17,132.30,554.63
6,362.35,331.05,126.52,198.06,733.72
7,452.43,424.42,138.08,162.89,692.25
8,480.43,449.08,117.96,289.01,700.80
9,511.66,546.25,144.02,283.30,792.28
10,514.52,555.51,159.97,264.57,991.46
