"# Configurações: PROTOCOLO=tcp, SESSÃO=True, PRINT_OUTPUT=False, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,598.42,596.86,146.31,151.63,1383.73
2,581.24,584.76,145.33,156.82,1201.33
3,582.62,582.94,140.32,143.17,1525.48
4,596.51,591.44,150.79,159.96,1359.80
5,592.06,594.99,149.34,147.05,1260.49
6,597.05,592.47,143.28,156.32,1398.83
7,579.61,580.43,144.18,156.16,2417.65
8,585.54,588.39,144.77,146.99,1728.74
9,593.74,590.80,142.31,154.53,1128.66
10,588.11,589.20,142.79,150.42,1207.31
