"# Configurações: PROTOCOLO=udp, PRINT_OUTPUT=False, WRITE_TO_FILE=True"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,416.46,347.45,226.17,141.36,4108.36
2,345.23,307.77,159.41,142.39,3390.58
3,443.87,388.11,288.68,145.23,10353.46
4,368.59,324.44,198.56,155.14,4053.18
5,371.46,327.17,211.51,139.53,7519.72
6,376.48,332.77,239.65,138.01,10079.79
7,368.34,328.02,164.76,137.00,2625.58
8,357.47,311.69,238.90,123.55,9666.21
9,367.06,331.17,223.33,139.47,9748.33
10,346.80,306.57,174.47,143.02,4155.97
