"# Configurações: PROTOCOLO=udp, PRINT_OUTPUT=True, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,799.93,754.29,357.81,334.55,10514.26
2,775.56,744.85,269.43,346.25,6778.50
3,777.47,740.35,276.83,320.83,6432.27
4,757.53,731.41,217.85,315.33,4227.11
5,794.97,761.52,286.36,306.28,7198.94
6,813.73,766.87,458.36,304.01,19267.93
7,770.68,739.39,265.20,331.42,6115.51
8,787.19,750.26,337.46,354.18,12692.53
9,798.83,757.54,287.45,330.10,7008.60
10,769.77,729.99,373.39,288.24,10684.12
