"# Configurações: PROTOCOLO=tcp, SESSÃO=False, PRINT_OUTPUT=True, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,304.35,234.14,205.33,66.11,2839.49
2,335.00,259.12,291.10,65.29,8029.59
3,329.38,251.34,319.74,73.23,10684.57
4,321.01,249.90,315.60,64.26,14850.40
5,330.98,261.84,244.91,71.64,5674.41
6,310.06,238.85,262.71,69.55,8975.13
7,305.13,240.00,352.89,68.06,15679.37
8,319.98,252.94,283.53,67.23,10174.15
9,313.42,248.54,198.86,70.87,2917.82
10,308.26,230.08,215.12,62.81,4281.10
