"# Configurações: PROTOCOLO=tcp, SESSÃO=True, PRINT_OUTPUT=False, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,78.00,62.19,107.78,39.18,6110.35
2,82.29,63.57,47.75,38.71,769.71
3,105.23,68.09,288.84,36.72,11502.65
4,112.65,70.12,202.35,43.35,9252.50
5,76.95,61.72,43.57,40.46,495.09
6,75.61,60.64,124.90,37.96,6541.79
7,77.30,61.15,174.40,37.48,8959.33
8,85.91,65.45,80.10,45.78,3570.54
9,80.06,63.78,45.08,41.28,914.51
10,75.30,60.51,112.01,40.32,5603.05
