"# Configurações: PROTOCOLO=tcp, SESSÃO=True, PRINT_OUTPUT=False, WRITE_TO_FILE=True"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,88.06,62.69,55.27,37.02,693.72
2,74.57,61.73,50.50,39.38,1585.67
3,99.64,67.64,210.02,39.32,8068.20
4,94.91,67.79,159.31,35.19,6314.35
5,78.57,61.52,55.54,41.41,1077.43
6,74.22,61.48,42.60,40.49,1185.99
7,141.01,93.31,155.21,45.26,7312.65
8,81.21,64.74,48.36,39.40,887.75
9,135.03,96.28,171.35,37.90,7637.08
10,106.88,84.44,67.70,41.71,2280.54
