"# Configurações: PROTOCOLO=tcp, SESSÃO=True, PRINT_OUTPUT=True, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,260.48,237.47,302.34,68.91,12902.10
2,256.19,240.58,200.75,64.29,9645.62
3,237.59,215.22,150.54,62.32,5447.60
4,246.05,223.33,141.14,60.20,4597.36
5,230.50,215.47,80.80,60.93,1807.45
6,243.79,220.28,252.48,56.92,12190.52
7,243.71,221.86,154.71,81.59,3981.20
8,236.48,220.76,85.78,77.96,1487.07
9,303.29,263.40,352.60,71.49,8891.08
10,292.62,268.80,349.08,73.55,10795.68
