"# Configurações: PROTOCOLO=udp, PRINT_OUTPUT=False, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,106.23,73.11,70.20,52.69,1365.75
2,103.79,74.31,208.62,53.84,9999.45
3,93.94,72.13,190.86,62.10,11633.93
4,86.30,70.06,47.47,62.16,914.63
5,103.62,74.02,72.88,53.43,1965.54
6,107.18,82.04,87.85,62.40,2792.02
7,86.55,69.00,53.48,61.65,1096.51
8,100.10,75.25,67.23,59.74,1619.30
9,115.42,81.05,86.83,56.03,1955.57
10,123.33,80.67,83.99,51.31,1808.17
