"# Configurações: PROTOCOLO=tcp, SESSÃO=False, PRINT_OUTPUT=False, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,150.59,93.21,150.10,25.57,2337.39
2,150.85,92.32,152.01,26.95,3032.19
3,143.88,88.27,144.29,28.51,2078.55
4,138.53,86.29,138.29,25.71,3384.59
5,127.62,78.39,126.55,26.44,2783.09
6,131.22,81.91,128.27,25.70,1530.39
7,136.25,83.22,134.43,24.87,1727.95
8,129.18,79.56,127.73,25.12,2867.96
9,123.22,72.97,123.67,27.62,1674.41
10,127.74,77.12,129.92,27.71,2690.73
