"# Configurações: PROTOCOLO=tcp, SESSÃO=False, PRINT_OUTPUT=False, WRITE_TO_FILE=True"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,153.31,92.74,165.09,40.24,16011.30
2,133.66,82.00,208.15,32.87,18647.30
3,168.32,99.96,171.82,26.74,3021.49
4,136.72,81.83,139.57,24.37,2944.80
5,149.41,89.42,150.47,29.59,2227.04
6,156.62,92.27,159.62,26.41,3295.84
7,168.56,99.61,171.22,28.02,2012.27
8,143.63,85.21,147.42,28.62,2136.36
9,137.80,82.06,138.79,25.69,2993.82
10,148.80,90.84,147.70,28.44,2986.13
