"# Configurações: PROTOCOLO=tcp, SESSÃO=False, PRINT_OUTPUT=True, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,248.11,199.89,151.10,38.60,4299.50
2,246.07,198.19,160.33,36.83,16323.52
3,245.26,198.24,154.63,33.56,10970.19
4,252.67,204.21,165.52,32.09,8505.98
5,244.62,197.56,150.59,36.16,11096.28
6,247.19,198.66,160.92,45.89,14816.44
7,245.43,197.80,147.90,37.95,5084.82
8,252.39,204.89,155.54,32.31,5781.31
9,244.23,197.09,145.43,33.86,2976.50
10,245.22,198.65,151.19,38.17,8254.73
