"# Configurações: PROTOCOLO=tcp, SESSÃO=True, PRINT_OUTPUT=False, WRITE_TO_FILE=True"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,83.85,64.10,130.41,23.99,13384.17
2,77.34,61.87,113.18,34.06,12410.20
3,89.04,62.34,160.80,25.39,22334.35
4,89.93,64.50,133.06,36.20,15078.34
5,89.04,66.20,98.44,35.54,7232.79
6,92.37,64.30,204.54,35.39,19201.92
7,87.84,64.03,116.71,22.52,22345.11
8,104.81,66.94,196.31,35.09,23423.83
9,91.56,63.81,181.97,34.96,16727.91
10,77.69,61.42,132.03,35.63,16941.81
