"# Configurações: PROTOCOLO=tcp, SESSÃO=True, PRINT_OUTPUT=True, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,244.94,221.25,280.27,56.39,21829.27
2,239.43,221.75,203.98,55.65,15775.59
3,244.16,226.32,223.70,56.20,14807.54
4,238.69,222.89,205.97,57.48,17245.78
5,240.68,224.52,203.84,50.70,19442.16
6,235.94,216.80,205.31,51.33,16438.56
7,240.02,222.42,167.60,58.22,9782.34
8,229.79,209.92,206.47,46.70,15090.53
9,235.29,216.49,206.49,45.72,23348.02
10,239.28,222.93,202.23,55.51,16881.87
