"# Configurações: PROTOCOLO=tcp, SESSÃO=True, PRINT_OUTPUT=False, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,87.55,62.84,159.22,21.33,21767.71
2,88.07,65.94,152.58,36.24,16762.69
3,81.73,62.61,121.64,34.49,16758.68
4,95.95,64.09,111.27,35.80,12429.65
5,76.09,62.40,133.80,28.48,15061.73
6,92.79,62.72,144.96,35.59,13976.10
7,87.88,64.61,169.50,22.07,21369.25
8,89.64,69.82,186.07,25.66,16741.81
9,91.48,65.45,180.17,24.11,21218.83
10,80.87,64.91,132.13,35.86,21061.85
