"# Configurações: PROTOCOLO=udp, PRINT_OUTPUT=True, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,200.90,189.57,106.70,48.76,8764.95
2,199.50,186.26,102.93,42.65,9523.30
3,201.76,188.76,100.16,47.22,8976.09
4,198.65,184.67,102.58,39.68,9809.35
5,199.81,186.99,100.67,38.51,7556.32
6,198.29,186.29,101.32,52.83,11512.92
7,199.02,186.47,113.43,47.86,12892.89
8,204.66,190.72,102.60,47.82,7920.46
9,204.20,190.00,96.91,45.46,4210.36
10,202.55,189.05,103.81,38.75,8373.43
