"# Configurações: PROTOCOLO=tcp, SESSÃO=False, PRINT_OUTPUT=False, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,181.01,115.94,233.06,52.51,11367.74
2,155.58,88.60,146.19,53.12,1906.79
3,238.42,188.09,199.98,50.05,2512.65
4,166.25,103.15,154.76,52.24,1410.02
5,157.93,92.75,142.50,46.54,1086.19
6,136.55,76.89,113.80,50.08,961.78
7,142.45,90.50,119.47,47.24,1237.37
8,122.06,68.45,231.22,49.99,9228.50
9,178.97,108.76,177.85,48.27,3872.54
10,261.78,240.47,326.95,48.61,10742.67
