"# Configurações: PROTOCOLO=tcp, SESSÃO=False, PRINT_OUTPUT=False, WRITE_TO_FILE=True"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,595.55,595.24,219.72,291.80,1133.30
2,816.48,480.37,1796.77,174.47,11757.34
3,397.26,353.95,158.14,177.04,768.07
4,659.10,608.60,285.23,271.92,1825.26
5,594.53,537.24,306.57,221.36,1989.73
6,629.71,608.97,157.31,287.44,1039.31
7,721.47,688.40,249.40,232.03,1469.53
8,854.94,788.00,275.54,264.85,1614.80
9,581.32,565.27,225.35,261.20,1586.97
10,679.94,678.29,212.35,331.51,1491.36
