"# Configurações: PROTOCOLO=tcp, SESSÃO=False, PRINT_OUTPUT=True, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,810.00,777.09,343.77,198.72,2771.71
2,789.56,756.69,353.66,224.40,6338.73
3,803.16,778.53,338.64,218.67,2316.60
4,810.72,794.30,338.63,202.32,3234.58
5,801.18,771.97,334.56,198.08,2381.69
6,783.60,752.81,336.40,235.69,3443.49
7,794.30,767.46,331.94,224.87,4165.64
8,805.42,775.88,339.19,233.19,3744.01
9,809.09,786.31,339.80,219.20,2285.81
10,805.00,772.69,353.73,211.46,7271.58
