"# Configurações: SERVER_HOST=localhost, USE_SESSION=True, PRINT_OUTPUT=False, WRITE_TO_FILE=True"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,171.64,171.92,108.21,55.12,3290.56
2,126.15,101.69,70.89,42.94,861.56
3,83.65,61.98,54.95,37.06,1160.27
4,100.99,70.81,108.51,41.33,3144.62
5,101.49,63.05,81.11,41.02,1638.64
6,73.65,60.87,51.56,36.50,1728.80
7,79.13,61.67,44.45,40.05,643.30
8,73.80,61.94,108.75,39.43,6542.58
9,84.63,63.29,149.11,42.28,8207.88
10,102.55,66.34,206.95,40.97,12097.91
