"# Configurações: PROTOCOLO=tcp, SESSÃO=True, PRINT_OUTPUT=True, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,721.33,723.14,246.45,196.33,1687.28
2,731.08,743.98,242.28,215.40,1902.26
3,736.85,748.84,247.14,215.57,1973.44
4,728.98,738.31,242.93,203.11,1516.37
5,734.81,745.27,252.12,212.60,2003.30
6,726.05,740.76,247.05,207.71,1594.10
7,741.20,754.80,247.08,219.23,1975.12
8,747.32,762.84,253.81,188.20,1679.44
9,735.08,739.14,252.05,215.10,1939.90
10,720.75,734.94,246.73,209.11,1642.44
