"# Configurações: PROTOCOLO=udp, PRINT_OUTPUT=False, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,432.36,367.55,252.53,140.51,7645.15
2,548.82,480.49,383.31,158.59,15436.40
3,574.86,553.01,175.41,164.29,1174.92
4,466.34,464.48,166.83,136.20,1690.24
5,471.98,467.97,170.02,147.83,1626.84
6,444.40,404.78,194.37,147.95,5754.40
7,367.68,322.36,311.99,142.89,9643.08
8,387.46,344.23,178.27,140.04,3974.97
9,369.14,319.37,187.01,138.70,2340.38
10,362.35,318.17,158.15,145.59,1413.90
