"# Configurações: PROTOCOLO=udp, PRINT_OUTPUT=True, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,886.68,850.51,328.02,480.24,2403.48
2,787.86,757.59,199.41,451.91,1596.51
3,720.99,695.80,193.94,444.17,1127.62
4,861.28,794.52,480.62,462.77,3529.33
5,781.42,764.85,183.91,445.88,1232.80
6,801.50,784.62,183.29,503.19,1218.14
7,769.70,759.29,186.58,482.60,1381.99
8,868.81,849.45,195.81,556.15,1326.50
9,844.27,810.57,217.52,546.57,1536.89
10,910.59,883.00,217.59,577.79,1865.65
