"# Configurações: SERVER_HOST=localhost, USE_SESSION=True, PRINT_OUTPUT=False, WRITE_TO_FILE=True"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,143.29,92.79,415.58,38.17,19068.62
2,80.31,63.45,92.03,41.20,4966.51
3,88.74,67.07,177.34,38.55,8928.07
4,121.18,63.44,106.98,37.51,852.51
5,71.10,61.78,95.62,40.66,5717.26
6,84.25,62.63,407.60,43.77,18957.78
7,75.64,60.38,251.91,41.67,15855.41
8,69.63,61.25,46.81,36.97,2368.94
9,70.19,61.70,36.43,45.86,912.44
10,76.92,61.48,44.06,40.12,844.51
